ALLOWED: [2025-04-20 14:53:16] SRC: 0.0.0.0: 24587 -> DST: 0.0.0.0: 50936 | Size: 1474 bytes | TTL: 42 | Protocol: 4
ALLOWED: [2025-04-20 14:53:17] SRC: 0.0.0.0: 24587 -> DST: 0.0.0.0: 50936 | Size: 1474 bytes | TTL: 42 | Protocol: 4
ALLOWED: [2025-04-20 14:53:18] SRC: 209.107.105.92: 24584 -> DST: 209.107.105.92: 2133 | Size: 110 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 14:58:11] SRC: 0.0.0.0: 21216 -> DST: 0.0.0.0: 17000 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 14:58:12] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 14:58:13] SRC: 0.0.0.0: 21216 -> DST: 0.0.0.0: 18395 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 14:58:14] SRC: 0.0.0.0: 21216 -> DST: 0.0.0.0: 19790 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 14:58:14] SRC: 0.0.0.0: 21216 -> DST: 0.0.0.0: 21185 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 14:58:15] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 14:58:16] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 14:58:17] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 14:58:18] SRC: 35.95.187.126: 50669 -> DST: 35.95.187.126: 443 | Size: 55 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-20 14:58:20] SRC: 1.1.0.0: 1 -> DST: 1.1.0.0: 2048 | Size: 42 bytes | TTL: 244 | Protocol: 39
ALLOWED: [2025-04-20 14:58:21] SRC: 1.1.0.0: 1 -> DST: 1.1.0.0: 2048 | Size: 42 bytes | TTL: 244 | Protocol: 39
ALLOWED: [2025-04-20 14:58:23] SRC: 246.39.86.255: 24576 -> DST: 246.39.86.255: 0 | Size: 86 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-20 14:58:26] SRC: 171.13.4.32: 24576 -> DST: 171.13.4.32: 35709 | Size: 113 bytes | TTL: 38 | Protocol: 6
ALLOWED: [2025-04-20 14:58:27] SRC: 171.13.4.32: 24576 -> DST: 171.13.4.32: 35709 | Size: 74 bytes | TTL: 38 | Protocol: 6
ALLOWED: [2025-04-20 14:58:28] SRC: 171.13.4.32: 24576 -> DST: 171.13.4.32: 35709 | Size: 74 bytes | TTL: 38 | Protocol: 6
ALLOWED: [2025-04-20 14:58:31] SRC: 192.168.1.1: 137 -> DST: 192.168.1.1: 137 | Size: 110 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-20 14:58:32] SRC: 192.168.1.1: 137 -> DST: 192.168.1.1: 137 | Size: 110 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-20 14:58:34] SRC: 192.168.1.1: 137 -> DST: 192.168.1.1: 137 | Size: 110 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-20 15:01:17] SRC: 0.0.0.0: 22377 -> DST: 0.0.0.0: 59351 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:01:19] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 102 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:01:20] SRC: 0.0.0.0: 22377 -> DST: 0.0.0.0: 60746 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:01:21] SRC: 0.0.0.0: 22377 -> DST: 0.0.0.0: 62141 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:01:22] SRC: 0.0.0.0: 22378 -> DST: 0.0.0.0: 13345 | Size: 1469 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:01:22] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:01:23] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:01:24] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 15727 | Size: 94 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:01:30] SRC: 194.13.4.32: 24584 -> DST: 194.13.4.32: 63845 | Size: 86 bytes | TTL: 38 | Protocol: 6
ALLOWED: [2025-04-20 15:01:34] SRC: 247.2.0.6: 0 -> DST: 247.2.0.6: 0 | Size: 60 bytes | TTL: 1 | Protocol: 0
ALLOWED: [2025-04-20 15:05:17] SRC: 0.0.0.0: 5998 -> DST: 0.0.0.0: 430 | Size: 1499 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:05:18] SRC: 0.0.0.0: 5998 -> DST: 0.0.0.0: 1855 | Size: 1499 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:05:19] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 13278 | Size: 74 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:05:20] SRC: 0.0.0.0: 5998 -> DST: 0.0.0.0: 3280 | Size: 1499 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:05:21] SRC: 0.0.0.0: 5998 -> DST: 0.0.0.0: 4705 | Size: 1499 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-20 15:05:21] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 13278 | Size: 74 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:05:22] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 13278 | Size: 74 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:05:23] SRC: 209.107.105.92: 24582 -> DST: 209.107.105.92: 13278 | Size: 74 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-20 15:05:24] SRC: 104.46.162.227: 50733 -> DST: 104.46.162.227: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-20 15:05:25] SRC: 104.46.162.227: 50752 -> DST: 104.46.162.227: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-20 15:05:25] SRC: 192.168.1.10: 443 -> DST: 192.168.1.10: 50733 | Size: 54 bytes | TTL: 112 | Protocol: 6
ALLOWED: [2025-04-20 15:05:26] SRC: 104.46.162.227: 50733 -> DST: 104.46.162.227: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-20 15:05:27] SRC: 192.168.1.10: 443 -> DST: 192.168.1.10: 50752 | Size: 66 bytes | TTL: 113 | Protocol: 6
ALLOWED: [2025-04-20 15:05:28] SRC: 104.46.162.227: 50752 -> DST: 104.46.162.227: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-20 15:05:29] SRC: 192.168.1.10: 443 -> DST: 192.168.1.10: 50752 | Size: 153 bytes | TTL: 113 | Protocol: 6
ALLOWED: [2025-04-20 15:05:30] SRC: 192.168.1.10: 443 -> DST: 192.168.1.10: 50752 | Size: 1506 bytes | TTL: 113 | Protocol: 6
ALLOWED: [2025-04-20 15:05:37] SRC: 1.3.0.0: 1 -> DST: 1.3.0.0: 2048 | Size: 60 bytes | TTL: 92 | Protocol: 53
ALLOWED: [2025-04-20 15:05:41] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 410 bytes | TTL: 1 | Protocol: 17
ALLOWED: [2025-04-20 15:05:42] SRC: 26.50.173.17: 24579 -> DST: 26.50.173.17: 12178 | Size: 430 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-20 15:05:43] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 93 bytes | TTL: 1 | Protocol: 17
ALLOWED: [2025-04-20 15:05:44] SRC: 26.50.173.17: 24579 -> DST: 26.50.173.17: 12178 | Size: 113 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-20 15:05:44] SRC: 194.13.4.32: 24589 -> DST: 194.13.4.32: 3385 | Size: 86 bytes | TTL: 38 | Protocol: 6
ALLOWED: [2025-04-20 15:05:49] SRC: 246.39.86.255: 24576 -> DST: 246.39.86.255: 0 | Size: 86 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-20 15:05:59] SRC: 35.166.206.121: 50754 -> DST: 35.166.206.121: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
