BLOCKED: [2025-04-20 14:53:06] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50511 | Size: 698 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:53:07] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50511 | Size: 190 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:53:08] SRC: 163.181.81.180: 50511 -> DST: 163.181.81.180: 80 | Size: 66 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:09] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50514 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:53:09] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50514 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:53:10] SRC: 163.181.81.180: 50514 -> DST: 163.181.81.180: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:11] SRC: 163.181.81.181: 50513 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:12] SRC: 163.181.81.181: 50510 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:13] SRC: 163.181.81.180: 50518 -> DST: 163.181.81.180: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:13] SRC: 163.181.81.180: 50511 -> DST: 163.181.81.180: 80 | Size: 74 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:14] SRC: 163.181.81.181: 50517 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:53:15] SRC: 163.181.81.181: 50513 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:01] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50654 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:58:02] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50654 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:58:03] SRC: 163.181.81.180: 50654 -> DST: 163.181.81.180: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:04] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50655 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:58:05] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50655 | Size: 866 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 14:58:06] SRC: 163.181.81.181: 50655 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:06] SRC: 163.181.81.181: 50655 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:07] SRC: 163.181.81.180: 50658 -> DST: 163.181.81.180: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:08] SRC: 163.181.81.181: 50655 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:09] SRC: 163.181.81.180: 50654 -> DST: 163.181.81.180: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:10] SRC: 163.181.81.180: 50654 -> DST: 163.181.81.180: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:10] SRC: 163.181.81.181: 50655 -> DST: 163.181.81.181: 80 | Size: 90 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 14:58:28] SRC: 34.218.221.118: 50685 -> DST: 34.218.221.118: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 15:01:14] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50654 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 15:01:15] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50654 | Size: 1506 bytes | TTL: 58 | Protocol: 6
BLOCKED: [2025-04-20 15:01:16] SRC: 163.181.81.180: 50654 -> DST: 163.181.81.180: 80 | Size: 66 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-20 15:01:17] SRC: 192.168.1.10: 80 -> DST: 192.168.1.10: 50654 | Size: 1506 bytes | TTL: 58 | Protocol: 6
