BLOCKED: [2025-04-22 11:40:45] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51621 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:40:46] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51621 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:40:47] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51619 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:40:48] SRC: 146.75.122.172: 51621 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:40:48] SRC: 146.75.122.172: 51619 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:40:49] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51621 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:40:50] SRC: 146.75.122.172: 51621 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:40:51] SRC: 146.75.122.172: 51620 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:40:52] SRC: 20.42.65.84: 51767 -> DST: 20.42.65.84: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:40:52] SRC: 192.168.128.255: 137 -> DST: 192.168.128.255: 137 | Size: 92 bytes | TTL: 128 | Protocol: 17
BLOCKED: [2025-04-22 11:40:54] SRC: 20.42.65.84: 51767 -> DST: 20.42.65.84: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:40:55] SRC: 20.42.65.84: 51767 -> DST: 20.42.65.84: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:40:56] SRC: 20.42.65.84: 51767 -> DST: 20.42.65.84: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:40:57] SRC: 192.168.128.255: 137 -> DST: 192.168.128.255: 137 | Size: 92 bytes | TTL: 128 | Protocol: 17
BLOCKED: [2025-04-22 11:42:00] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51615 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:42:01] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51615 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:42:01] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51612 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:42:02] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51612 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:42:03] SRC: 146.75.122.172: 51615 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:42:04] SRC: 146.75.122.172: 51612 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:42:05] SRC: 146.75.122.172: 51619 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:42:05] SRC: 146.75.122.172: 51613 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:06] SRC: 20.60.58.161: 51805 -> DST: 20.60.58.161: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:07] SRC: 20.60.58.161: 51805 -> DST: 20.60.58.161: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:08] SRC: 20.60.58.161: 51805 -> DST: 20.60.58.161: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:09] SRC: 20.60.58.161: 51805 -> DST: 20.60.58.161: 443 | Size: 1354 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:09] SRC: 0.0.0.0: 24587 -> DST: 0.0.0.0: 28985 | Size: 86 bytes | TTL: 38 | Protocol: 32
ALLOWED: [2025-04-22 11:42:10] SRC: 13.107.5.93: 51779 -> DST: 13.107.5.93: 443 | Size: 55 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:11] SRC: 0.0.0.0: 24580 -> DST: 0.0.0.0: 24229 | Size: 86 bytes | TTL: 38 | Protocol: 32
ALLOWED: [2025-04-22 11:42:15] SRC: 212.205.44.255: 24576 -> DST: 212.205.44.255: 0 | Size: 90 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:42:16] SRC: 224.0.0.22: 8704 -> DST: 224.0.0.22: 63746 | Size: 54 bytes | TTL: 1 | Protocol: 2
ALLOWED: [2025-04-22 11:42:17] SRC: 224.0.0.22: 8704 -> DST: 224.0.0.22: 63746 | Size: 54 bytes | TTL: 1 | Protocol: 2
ALLOWED: [2025-04-22 11:42:18] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 259 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:42:19] SRC: 212.205.44.255: 24578 -> DST: 212.205.44.255: 9779 | Size: 279 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:42:19] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 259 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:42:20] SRC: 212.205.44.255: 24578 -> DST: 212.205.44.255: 9779 | Size: 279 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:42:21] SRC: 250.206.176.12: 24576 -> DST: 250.206.176.12: 40020 | Size: 146 bytes | TTL: 42 | Protocol: 3
ALLOWED: [2025-04-22 11:42:22] SRC: 41.78.228.226: 24591 -> DST: 41.78.228.226: 1905 | Size: 86 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:42:24] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 717 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:42:24] SRC: 212.205.44.255: 24578 -> DST: 212.205.44.255: 9779 | Size: 737 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:42:32] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 717 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:42:33] SRC: 192.168.128.218: 51459 -> DST: 192.168.128.218: 53 | Size: 89 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:42:34] SRC: 192.168.128.218: 56345 -> DST: 192.168.128.218: 53 | Size: 89 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:42:34] SRC: 192.168.128.218: 51459 -> DST: 192.168.128.218: 53 | Size: 89 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:42:35] SRC: 192.168.128.218: 56345 -> DST: 192.168.128.218: 53 | Size: 89 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:42:36] SRC: 128.218.0.0: 1 -> DST: 128.218.0.0: 2048 | Size: 42 bytes | TTL: 214 | Protocol: 205
ALLOWED: [2025-04-22 11:42:37] SRC: 128.216.214.205: 1 -> DST: 128.216.214.205: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
ALLOWED: [2025-04-22 11:42:38] SRC: 4.144.165.14: 51820 -> DST: 4.144.165.14: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:38] SRC: 41.78.228.226: 24587 -> DST: 41.78.228.226: 35007 | Size: 75 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:42:39] SRC: 4.144.165.14: 51820 -> DST: 4.144.165.14: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:40] SRC: 4.144.165.14: 51820 -> DST: 4.144.165.14: 443 | Size: 345 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:41] SRC: 52.40.98.106: 51821 -> DST: 52.40.98.106: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:42] SRC: 0.0.0.0: 24590 -> DST: 0.0.0.0: 17189 | Size: 86 bytes | TTL: 38 | Protocol: 32
ALLOWED: [2025-04-22 11:42:42] SRC: 52.40.98.106: 51822 -> DST: 52.40.98.106: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:43] SRC: 52.40.98.106: 51822 -> DST: 52.40.98.106: 443 | Size: 118 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:44] SRC: 41.78.228.226: 24591 -> DST: 41.78.228.226: 1905 | Size: 144 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:42:45] SRC: 0.0.0.0: 11378 -> DST: 0.0.0.0: 21286 | Size: 86 bytes | TTL: 38 | Protocol: 0
ALLOWED: [2025-04-22 11:42:46] SRC: 41.78.228.226: 24579 -> DST: 41.78.228.226: 62314 | Size: 74 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:42:47] SRC: 20.189.173.23: 51824 -> DST: 20.189.173.23: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:48] SRC: 20.189.173.23: 51824 -> DST: 20.189.173.23: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:49] SRC: 20.189.173.23: 51824 -> DST: 20.189.173.23: 443 | Size: 212 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:50] SRC: 20.189.173.23: 51824 -> DST: 20.189.173.23: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:50] SRC: 20.135.6.15: 51786 -> DST: 20.135.6.15: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:51] SRC: 52.40.98.106: 51822 -> DST: 52.40.98.106: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:52] SRC: 13.107.5.93: 51780 -> DST: 13.107.5.93: 443 | Size: 55 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:42:54] SRC: 250.206.176.12: 24576 -> DST: 250.206.176.12: 40020 | Size: 74 bytes | TTL: 42 | Protocol: 3
ALLOWED: [2025-04-22 11:42:55] SRC: 250.206.176.12: 24576 -> DST: 250.206.176.12: 40020 | Size: 74 bytes | TTL: 42 | Protocol: 3
ALLOWED: [2025-04-22 11:42:56] SRC: 250.206.176.12: 24576 -> DST: 250.206.176.12: 40020 | Size: 86 bytes | TTL: 42 | Protocol: 3
ALLOWED: [2025-04-22 11:42:56] SRC: 20.189.173.6: 51793 -> DST: 20.189.173.6: 443 | Size: 55 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:43:00] SRC: 26.50.173.17: 24576 -> DST: 26.50.173.17: 0 | Size: 86 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:43:10] SRC: 128.218.0.0: 1 -> DST: 128.218.0.0: 2048 | Size: 42 bytes | TTL: 214 | Protocol: 205
ALLOWED: [2025-04-22 11:43:10] SRC: 128.216.214.205: 1 -> DST: 128.216.214.205: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
ALLOWED: [2025-04-22 11:43:21] SRC: 20.190.146.36: 51811 -> DST: 20.190.146.36: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:43:22] SRC: 20.190.146.36: 51811 -> DST: 20.190.146.36: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:43:26] SRC: 20.189.173.6: 51787 -> DST: 20.189.173.6: 443 | Size: 55 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:43:28] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 123 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:43:29] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 123 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:43:30] SRC: 224.0.0.22: 8704 -> DST: 224.0.0.22: 63746 | Size: 54 bytes | TTL: 1 | Protocol: 2
ALLOWED: [2025-04-22 11:43:31] SRC: 152.36.216.255: 24576 -> DST: 152.36.216.255: 0 | Size: 90 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:43:32] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 139 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:43:36] SRC: 4.144.165.14: 51820 -> DST: 4.144.165.14: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:47:49] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51616 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:47:50] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51616 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:47:50] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51621 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:47:51] SRC: 192.168.128.216: 80 -> DST: 192.168.128.216: 51615 | Size: 1354 bytes | TTL: 54 | Protocol: 6
BLOCKED: [2025-04-22 11:47:52] SRC: 146.75.122.172: 51616 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:47:53] SRC: 146.75.122.172: 51621 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:47:54] SRC: 146.75.122.172: 51615 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
BLOCKED: [2025-04-22 11:47:54] SRC: 146.75.122.172: 51619 -> DST: 146.75.122.172: 80 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:47:55] SRC: 192.168.128.218: 64508 -> DST: 192.168.128.218: 53 | Size: 90 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:47:56] SRC: 192.168.128.218: 57258 -> DST: 192.168.128.218: 53 | Size: 90 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:47:57] SRC: 192.168.128.218: 57258 -> DST: 192.168.128.218: 53 | Size: 90 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:47:58] SRC: 192.168.128.218: 64508 -> DST: 192.168.128.218: 53 | Size: 90 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:48:05] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 119 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:48:06] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 139 bytes | TTL: 254 | Protocol: 128
[2025-04-22 11:48:13] SRC: 128.218.0.0: 1 -> DST: 128.218.0.0: 2048 | Size: 42 bytes | TTL: 214 | Protocol: 205
[2025-04-22 11:48:14] SRC: 128.216.214.205: 1 -> DST: 128.216.214.205: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
[2025-04-22 11:48:23] SRC: 41.78.228.226: 24587 -> DST: 41.78.228.226: 50180 | Size: 305 bytes | TTL: 36 | Protocol: 1
[2025-04-22 11:48:23] SRC: 0.0.0.0: 60827 -> DST: 0.0.0.0: 40054 | Size: 502 bytes | TTL: 38 | Protocol: 3
[2025-04-22 11:48:24] SRC: 41.78.228.226: 24587 -> DST: 41.78.228.226: 50180 | Size: 74 bytes | TTL: 36 | Protocol: 1
[2025-04-22 11:48:25] SRC: 41.78.228.226: 24589 -> DST: 41.78.228.226: 36744 | Size: 86 bytes | TTL: 36 | Protocol: 1
[2025-04-22 11:48:26] SRC: 52.149.20.212: 51855 -> DST: 52.149.20.212: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:27] SRC: 0.0.0.0: 24588 -> DST: 0.0.0.0: 11611 | Size: 86 bytes | TTL:
ALLOWED: 38 | Protocol: 3
